UserRegister,افزودن کاربر
UserRegister,کاربر اضافه کنم
UserRegister,میخوام یک کاربر اضافه کنم
UserRegister,یک کاربر جدید ثبت نام کنم
UserRegister,میخوام یک یوزر جدید اضافه کنم
CustomerRegister,میخوام ثبت نام کنم
CustomerRegister,میخوام فروشگاهم رو ثبت کنم
CustomerRegister,میخوام کسب و کارم رو اضافه کنم
CustomerRegister,افزودن کسب و کار
CustomerRegister,افزودن فروشگاه
CustomerRegister,ثبت نام فروشنده
Login,میخوام وارد شم
Login,میخوام لاگین کنم
Login,میخوام وارد سایت شم
Login,ورود
Login,Login
Login,لاگین
CustomerProductAdd,میخوام یک غذا به منوی فروشگاهم اضافه کنم
CustomerProductAdd,میخوام یک غذا به منوی کسب و کارم اضافه کنم
CustomerProductAdd,افزودن غذا به منو
CustomerProductAdd,افزودن غذای جدید به منو
ProductAdd,افزودن غذا
ProductAdd,میخوام یک غذای جدید توی بانک ثبت کنم
ProductAdd,من مایلم یک غذای جدید به برنامه اضافه کنم
CustomerTypeAdd,من میخوام یک دسته بندی جدید مشتریان اضافه کنم
CustomerTypeAdd,من میخوام یک دسته بندی جدید برای فروشگاه ها اضافه کنم
CustomerTypeAdd,افزودن دسته بندی جدید فروشگاهی
CustomerTypeAdd,افزودن گروه جدید برای کسب و کار ها
ProductTypeAdd,من میخوام یک دسته بندی جدید غذا اضافه کنم
ProductTypeAdd,من میخوام یک دسته بندی جدید برای غذا ها اضافه کنم
ProductTypeAdd,افزودن دسته بندی جدید غذا
ProductTypeAdd,افزودن گروه جدید برای غذا ها
GetOrderItem,سفارشات رستوران من
GetOrderItem,دریافت سفارشات رستوران من
CustomerProductAdd,میخوام یک غذا به منوی رستورانم اضافه کنم
CustomerProductAdd,میخوام یک غذا به منوی رستورانم اضافه کنم
CustomerProductAdd,افزودن غذا به منوی رستوران
CustomerProductAdd,افزودن غذای جدید به منو آشپزخانه
GetOrderItem,سفارشات فروشگاه من
GetOrderItem,دریافت سفارشات فروشگاه من
GetOrderItem,میخوام سفارشات فروشگاهم را دریافت کنم
GetOrder,لیست سفارشات مشتری ها
GetOrder,دیدن لیست سفارشات مشتری ها
GetOrder,دریافت لیست سفارش های مشتری ها
GetCustomerProduct,منوی فروشگاه من
GetCustomerProduct,دریافت غذا های رستوران من
GetCustomerProduct,میخواهم غذا های رستورانم را ببینم
GetCustomerProduct,میخواهم غذا های موجود در رستورانم را ببینم
GetCustomerProduct,میخواهم غذا های فروشگاهم  را ببینم
GetCustomerProduct,میخواهم غذا های آشپزخانه ام را ببینم
